--- Workspaces with Detected Drift ---

Workspace: gosupertestingfinalised (ID: 53, User: 3)
Workspace: gosupertesting (ID: 48, User: 3)
Workspace: migration2 (ID: 188, User: 3)
Workspace: migration_test_shreyas (ID: 187, User: 3)
Workspace: july23test2 (ID: 185, User: 3)
Workspace: july23test1 (ID: 184, User: 3)
Workspace: july24test1 (ID: 186, User: 3)
Workspace: migration3 (ID: 189, User: 3)
Workspace: migration4 (ID: 191, User: 3)
Workspace: clouvix (ID: 102, User: 5)
Workspace: tests3 (ID: 117, User: 5)
Workspace: s3buckettestingshreyas (ID: 121, User: 5)
Workspace: jube6test (ID: 131, User: 5)
Workspace: ec2instalcelocavlly (ID: 138, User: 5)
Workspace: june6ec2instance (ID: 134, User: 5)
Workspace: june6projectlocal (ID: 133, User: 5)
Workspace: june12ec2test (ID: 144, User: 5)
Workspace: projectnamejune12 (ID: 145, User: 5)
Workspace: june12ec2s3 (ID: 146, User: 5)
Workspace: july11test3 (ID: 170, User: 5)
Workspace: july11test4 (ID: 171, User: 5)
Workspace: july11test6 (ID: 173, User: 5)
Workspace: july11test7 (ID: 174, User: 5)
Workspace: july12test1 (ID: 176, User: 5)
Workspace: july12test2 (ID: 177, User: 5)
Workspace: july17test4 (ID: 181, User: 5)
Workspace: july17test1 (ID: 179, User: 5)
Workspace: july19test1 (ID: 182, User: 5)
Workspace: july17test0 (ID: 178, User: 5)
